"OBNOVA";"neo-angin&#174;";"2,4-dihlorbenzilalkohol, amilmetakrezol, levomentol";"BR";"lozenga; 1.2mg+0.6mg+5.9mg; blister, 2x12kom";"515-01-03679-21-001";"2022-12-14";"2027-12-14";"DIVAPHARMA GMBH - Nema&#269;ka ";"EVROPA LEK PHARMA D.O.O. BEOGRAD";"R02AA20";"4008617149507";"1120100";"Humani lekovi";"458708";"/";"";"8639";"5022";
"OBNOVA";"neo-angin&#174; bez &#353;e&#263;era";"2,4-dihlorbenzilalkohol, amilmetakrezol, levomentol";"BR";"lozenga; 1.2mg+0.6mg+5.72mg; blister, 2x12kom";"515-01-03681-21-001";"2022-09-14";"2027-09-14";"DIVAPHARMA GMBH - Nema&#269;ka ";"EVROPA LEK PHARMA D.O.O. BEOGRAD";"R02AA20";"4008617149606";"1120101";"Humani lekovi";"456268";"/";"";"8639";"5022";
"OBNOVA";"neo-angin&#174; sa ukusom &#382;alfije";"2,4-dihlorbenzilalkohol, amilmetakrezol, levomentol";"BR";"lozenga; 1.2mg+0.6mg+5.9mg; blister, 2x12kom";"515-01-03680-21-001";"2022-10-31";"2027-10-31";"DIVAPHARMA GMBH - Nema&#269;ka ";"EVROPA LEK PHARMA D.O.O. BEOGRAD";"R02AA20";"4008617150107";"1120102";"Humani lekovi";"456924";"/";"";"8639";"5022";
"OBNOVA";"Strepsils&#174; plus";"2,4-dihlorbenzilalkohol, amilmetakrezol, lidokain";"BR";"lozenga; 1.2mg+0.6mg+10mg; blister, 2x12kom";"515-01-02917-21-001";"2022-07-20";"2027-07-20";"RECKITT BENCKISER HEALTHCARE INTERNATIONAL LIMITED - Velika Britanija ";"NELT CO. DOO BEOGRAD";"R02AA03";"5000158105058";"1120404";"Humani lekovi";"454207";"/";"";"32862";"8528";
"OBNOVA";"GARDASIL&#174; 9";"9-ovalentna vakcina protiv humanog papilomavirusa (rekombinantna, adsorbovana)";"Z";"suspenzija za injekciju u napunjenom injekcionom &#353;pricu; 30mcg/0.5mL+40mcg/0.5mL+60mcg/0.5mL+40mcg/0.5mL+20mcg/0.5mL+20mcg/0.5mL+20mcg/0.5mL+20mcg/0.5mL+20mcg/0.5mL; napunjen injekcioni &#353;pric, 1x0.5mL";"515-01-03884-21-001";"2022-06-06";"2072-06-06";"MERCK SHARP &#38; DOHME B.V. - Holandija ";"MERCK SHARP &#38; DOHME D.O.O.";"J07BM03";"8606103170521";"0011804";"Vakcine";"452655";"/";"";"6958";"22913";
"OBNOVA";"Kindinorm&#174;";"Chamomilla dil. D12, Kalium phosphoricum dil. D6, Staphisagria dil. D12, Valeriana dil. D6";"BR";"pilule; 25mg/10g+25mg/10g+25mg/10g+25mg/10g; bo&#269;ica staklena, 1x10g";"515-01-00565-19-001";"2019-12-10";"2024-12-10";"DR. GUSTAV KLEIN GMBH &#38; CO. KG - Nema&#269;ka ";"ALPEN PHARMA DOO BEOGRAD (ZVEZDARA)";"/";"4260019332271";"";"Homeopatski lekovi";"439362";"/";"";"35065";"20762";
"REGISTRACIJA";"Kindinorm&#174;";"Chamomilla dil. D12, Kalium phosphoricum dil. D6, Staphisagria dil. D12, Valeriana dil. D6";"BR";"pilule; 25mg/10g+25mg/10g+25mg/10g+25mg/10g; bo&#269;ica staklena, 1x10g";"515-01-00565-19-001";"2019-12-10";"2024-12-10";"DR. GUSTAV KLEIN GMBH &#38; CO. KG - Nema&#269;ka ";"ALPEN PHARMA DOO BEOGRAD (ZVEZDARA)";"/";"4029917003269";"";"Homeopatski lekovi";"439362";"/";"";"35065";"20762";
"OBNOVA";"Gynoflor&#174;";"Lactobacillus acidophilus, estriol";"R";"vaginalna tableta; 1x 10exp8 CFU+0.03mg; blister, 1x6kom";"515-01-05008-17-001";"2019-02-06";"2024-02-06";"MEDINOVA AG - &#352;vajcarska ";"VIVAX PHARMA ADRIA DOO";"G01AX..";"8606108354162";"6137185";"Humani lekovi";"404162";"/";"";"32396";"30647";
"REGISTRACIJA";"Paxlovid";"PF-07321332, ritonavir";"R";"film tableta; 150mg+100mg; blister, 5x6kom (4x150mg i 2x100mg)";"515-01-00984-22-003";"2022-05-19";"2023-05-19";"PFIZER IRELAND PHARMACEUTICALS - Irska ";"PFIZER SRB D.O.O.";"/";"8606007412260";"1328329";"Humani lekovi";"457369";"/";"";"30097";"4113";
"REGISTRACIJA";"Paxlovid";"PF-07321332, ritonavir";"R";"film tableta; 150mg+100mg; blister, 5x6kom (4x150mg i 2x100mg)";"515-01-00984-22-003";"2022-05-19";"2023-05-19";"PFIZER ITALIA S.R.L. - Italija ";"PFIZER SRB D.O.O.";"/";"8606007412260";"1328329";"Humani lekovi";"451851";"/";"";"36423";"4113";
"REGISTRACIJA";"Paxlovid";"PF-07321332, ritonavir";"R";"film tableta; 150mg+100mg; blister, 5x6kom (4x150mg i 2x100mg)";"515-01-00984-22-003";"2022-05-19";"2023-05-19";"PFIZER MANUFACTURING DEUTSCHLAND GMBH - BETRIEBSSTATTE FREIBURG - Nema&#269;ka ";"PFIZER SRB D.O.O.";"/";"8606007412260";"1328329";"Humani lekovi";"451850";"/";"";"12583";"4113";
"OBNOVA";"RotaTeq&#174;";"&#382;iva vakcina protiv gastroenteritisa izazvanog rotavirusom";"Z";"oralni rastvor; 2.2x 10exp6 i.j./doza+2.8x 10exp6 i.j./doza+2.2x 10exp6 i.j./doza+2x 10exp6 i.j./doza+2.3x 10exp6 i.j./doza; tuba, 1x2mL";"515-01-00898-17-001";"2017-11-30";"2022-11-30";"MERCK SHARP &#38; DOHME B.V. - Holandija ";"MERCK SHARP &#38; DOHME D.O.O.";"J07BH02";"8600103453547";"2011912";"Vakcine";"384335";"/";"";"6958";"22913";
